Algorithm,Input,Time
"FastOrthogonalVector",300,0.017667
"FastOrthogonalVector",300,0.019292
"FastOrthogonalVector",300,0.016667
"FastOrthogonalVector",600,0.036459
"FastOrthogonalVector",600,0.033292
"FastOrthogonalVector",600,0.040083
"FastOrthogonalVector",900,0.057625
"FastOrthogonalVector",900,0.047958
"FastOrthogonalVector",900,0.05425
"FastOrthogonalVector",1200,0.058792
"FastOrthogonalVector",1200,0.063875
"FastOrthogonalVector",1200,0.061166
"FastOrthogonalVector",1500,0.084459
"FastOrthogonalVector",1500,0.078166
"FastOrthogonalVector",1500,0.086791
"FastOrthogonalVector",1800,0.085875
"FastOrthogonalVector",1800,0.087667
"FastOrthogonalVector",1800,0.105334
"FastOrthogonalVector",2100,0.105833
"FastOrthogonalVector",2100,0.11
"FastOrthogonalVector",2100,0.096792
"FastOrthogonalVector",2400,0.126542
"FastOrthogonalVector",2400,0.108708
"FastOrthogonalVector",2400,0.130542
"FastOrthogonalVector",2700,0.13175
"FastOrthogonalVector",2700,0.130083
"FastOrthogonalVector",2700,0.117792
"FastOrthogonalVector",3000,0.142791
"FastOrthogonalVector",3000,0.12975
"FastOrthogonalVector",3000,0.162834
"FastOrthogonalVector",3300,0.142541
"FastOrthogonalVector",3300,0.14975
"FastOrthogonalVector",3300,0.146208
"FastOrthogonalVector",3600,0.168708
"FastOrthogonalVector",3600,0.148583
"FastOrthogonalVector",3600,0.166042
"FastOrthogonalVector",3900,0.155459
"FastOrthogonalVector",3900,0.16775
"FastOrthogonalVector",3900,0.164542
"FastOrthogonalVector",4200,0.159958
"FastOrthogonalVector",4200,0.160042
"FastOrthogonalVector",4200,0.15775
"FastOrthogonalVector",4500,0.192042
"FastOrthogonalVector",4500,0.199125
"FastOrthogonalVector",4500,0.179792
"FastOrthogonalVector",4800,0.189291
"FastOrthogonalVector",4800,0.18875
"FastOrthogonalVector",4800,0.191291
"FastOrthogonalVector",5100,0.216958
"FastOrthogonalVector",5100,0.200292
"FastOrthogonalVector",5100,0.199875
"FastOrthogonalVector",5400,0.178958
"FastOrthogonalVector",5400,0.165458
"FastOrthogonalVector",5400,0.209708
"FastOrthogonalVector",5700,0.207709
"FastOrthogonalVector",5700,0.218042
"FastOrthogonalVector",5700,0.206
"FastOrthogonalVector",6000,0.256
"FastOrthogonalVector",6000,0.225084
"FastOrthogonalVector",6000,0.254
"FastOrthogonalVector",6300,0.229583
"FastOrthogonalVector",6300,0.240917
"FastOrthogonalVector",6300,0.257708
"FastOrthogonalVector",6600,0.249792
"FastOrthogonalVector",6600,0.257584
"FastOrthogonalVector",6600,0.234708
"FastOrthogonalVector",6900,0.271458
"FastOrthogonalVector",6900,0.257667
"FastOrthogonalVector",6900,0.24825
"FastOrthogonalVector",7200,0.255792
"FastOrthogonalVector",7200,0.2405
"FastOrthogonalVector",7200,0.25425
"FastOrthogonalVector",7500,0.235958
"FastOrthogonalVector",7500,0.239208
"FastOrthogonalVector",7500,0.2425
"FastOrthogonalVector",7800,0.303958
"FastOrthogonalVector",7800,0.296
"FastOrthogonalVector",7800,0.257125
"FastOrthogonalVector",8100,0.293208
"FastOrthogonalVector",8100,0.276125
"FastOrthogonalVector",8100,0.26475
"FastOrthogonalVector",8400,0.288417
"FastOrthogonalVector",8400,0.301
"FastOrthogonalVector",8400,0.266792
"FastOrthogonalVector",8700,0.283417
"FastOrthogonalVector",8700,0.295125
"FastOrthogonalVector",8700,0.27925
"FastOrthogonalVector",9000,0.335625
"FastOrthogonalVector",9000,0.32725
"FastOrthogonalVector",9000,0.282
"SlowOrthogonalVector",300,0.588541
